theta_rec,phi_rec,t_rec
1.690053,90,0
1.292278,90,0.019999999999996
2.325841,90,0.0399999999999991
5.69029,90,0.0599999999999952
7.363196,90,0.0799999999999983
10.61003,90,0.100000000000001
13.84269,90,0.119999999999997
15.5111,90,0.140000000000001
18.7273,90,0.159999999999997
20.9249,90,0.18
22.30275,90,0.199999999999996
24.12797,90,0.219999999999999
24.23687,90,0.239999999999995
24.2819,90,0.259999999999998
20.79842,90,0.280000000000001
16.68245,90,0.299999999999997
12.25777,90,0.32
7.230984,90,0.339999999999996
3.238023,90,0.359999999999999
-0.3862224,90,0.379999999999995
-4.943504,90,0.399999999999999
-8.377535,90,0.419999999999995
-11.94383,90,0.439999999999998
-14.64164,90,0.460000000000001
-17.06829,90,0.479999999999997
-19.13315,90,0.5
-20.45889,90,0.519999999999996
-21.51024,90,0.539999999999999
-21.70209,90,0.559999999999995
-21.42196,90,0.579999999999998
-20.70137,90,0.600000000000001
-19.39027,90,0.619999999999997
-17.66903,90,0.640000000000001
-15.68709,90,0.659999999999997
-13.33028,90,0.68
-10.62885,90,0.699999999999996
-7.805134,90,0.719999999999999
-4.769447,90,0.739999999999995
-1.657269,90,0.759999999999998
1.455615,90,0.780000000000001
4.484933,90,0.799999999999997
7.428543,90,0.82
10.12968,90,0.839999999999996
12.57226,90,0.859999999999999
14.70294,90,0.879999999999995
16.4733,90,0.899999999999999
17.74508,90,0.919999999999995
18.66584,90,0.939999999999998
19.09838,90,0.960000000000001
19.09168,90,0.979999999999997
18.79822,90,1
18.02618,90,1.02
16.98642,90,1.04
15.72291,90,1.06
14.10728,90,1.08
12.13604,90,1.1
10.13698,90,1.12
7.919516,90,1.14
5.503166,90,1.16
3.198461,90,1.18
0.7931858,90,1.2
-1.413428,90,1.22
-3.582273,90,1.23999999999999
-5.474826,90,1.26
-7.210339,90,1.28
-8.618399,90,1.3
-9.76405,90,1.32
-10.56625,90,1.34
-11.03647,90,1.36
-11.1419,90,1.38
-10.93902,90,1.4
-10.45192,90,1.41999999999999
-9.720945,90,1.44
-8.796925,90,1.46
-7.6928,90,1.48
-6.435674,90,1.5
-5.05052,90,1.52
-3.569389,90,1.54
-2.048614,90,1.56
-0.4693666,90,1.58
1.050409,90,1.6
2.552556,90,1.62
3.93089,90,1.64
5.206253,90,1.66
6.309496,90,1.68
7.250419,90,1.7
