t,theta,phi,u
5.66,0,86,90
5.68,0,86,90
5.7,0,86,135
5.72,0,86,135
5.74,-0.5,87,135
5.76,-1,87,135
5.78,-1.245365,92,135
5.8,-4.554877,96,135
5.82,-6.868527,102,135
5.84,-9.949648,108,135
5.86,-13.25516,115,135
5.88,-15.98607,121,135
5.9,-18.83413,127,135
5.92,-21.51353,132,135
5.94,-23.33391,137,135
5.96,-24.55761,141,135
5.98,-24.34991,144,135
6,-23.30172,145,135
6.02,-21.15041,145,135
6.04,-16.46153,144,135
6.06,-11.23669,144,135
6.08,-6.319988,145,135
6.1,-2.371933,145,135
6.12,1.71781,145,135
6.14,5.797269,145,135
6.16,9.94508,145,135
6.18,13.4037,145,135
6.2,16.514,145,135
6.22,19.35187,145,135
6.24,21.39094,145,135
6.26,23.24017,145,135
6.28,24.54707,145,135
6.3,25.29274,145,135
6.32,25.29131,145,135
6.34,24.78543,145,135
6.36,23.91991,145,135
6.38,22.18347,145,135
6.4,20.16294,145,135
6.42,17.64767,145,135
6.44,14.71027,145,135
6.46,11.48208,145,135
6.48,8.001503,145,135
6.5,4.332147,145,135
6.52,0.6002309,145,135
6.54,-3.100224,145,135
6.56,-6.733691,145,135
6.58,-10.20183,145,135
6.6,-13.36422,145,135
6.62,-16.06108,145,135
6.64,-18.30167,145,135
6.66,-20.1584,145,135
6.68,-22.00933,145,135
6.7,-23.34646,145,135
6.72,-24.00533,145,135
6.74,-24.29509,145,135
6.76,-23.9633,145,135
6.78,-23.209,145,135
6.8,-21.96795,145,135
6.82,-20.25816,145,135
6.84,-18.19177,145,135
6.86,-15.73689,145,135
6.88,-13.00799,145,135
6.9,-10.0288,145,135
6.92,-6.875409,145,135
6.94,-3.625442,145,135
6.96,-0.3549287,145,135
6.98,2.869894,145,135
7,5.978494,145,135
7.02,8.916477,145,135
7.04,11.59692,145,135
7.06,13.92103,145,135
7.08,15.82507,145,135
7.1,17.28676,145,135
7.12,18.31532,145,135
7.14,19.14417,145,135
7.16,19.56744,145,135
7.18,19.50022,145,135
7.2,19.0098,145,135
7.22,18.14364,145,135
7.24,16.85675,145,135
7.26,15.25542,145,135
7.28,13.31923,145,135
7.3,11.11258,145,135
7.32,8.700975,145,135
7.34,6.124684,145,135
7.36,3.43627,145,135
7.38,0.7103064,145,135
7.4,-1.99089,145,135
7.42,-4.621306,145,135
7.44,-7.105256,145,135
7.46,-9.342649,145,135
7.48,-11.28662,145,135
7.5,-12.86304,145,135
7.52,-14.08695,145,135
7.54,-15.00882,145,135
7.56,-15.83368,145,135
7.58,-16.27896,145,135
7.6,-16.2561,145,135
7.62,-15.9746,145,135
7.64,-15.29391,145,135
7.66,-14.32413,145,135
7.68,-13.06396,145,135
7.7,-11.51852,145,135
7.72,-9.762152,145,135
7.74,-7.805384,145,135
7.76,-5.704212,145,135
7.78,-3.502072,145,135
7.8,-1.258817,145,135
7.82,0.9831369,145,135
7.84,3.177909,145,135
7.86,5.263467,145,135
7.88,7.205331,145,135
7.9,8.959898,145,135
7.92,10.47828,145,135
7.94,11.71659,145,135
7.96,12.64454,145,135
7.98,13.23476,145,135
8,13.50144,145,135
8.02,13.45823,145,135
8.04,13.16566,145,135
8.06,12.75209,145,135
8.08,12.02576,145,135
8.1,11.09439,145,135
8.12,9.927296,145,135
8.14,8.600667,145,135
8.16,7.089879,145,135
8.18,5.487696,145,135
8.2,3.781469,145,135
8.22,2.027084,145,135
8.24,0.2772086,145,135
8.26,-1.434947,145,135
8.28,-3.073704,145,135
8.3,-4.597874,145,135
8.32,-5.964786,145,135
8.34,-7.134889,145,135
8.36,-8.073109,145,135
8.38,-8.750696,145,135
8.4,-9.143463,145,135
8.42,-9.334185,145,135
8.44,-9.441303,145,135
8.46,-9.333414,145,135
8.48,-8.993404,145,135
8.5,-8.50412,145,135
8.52,-7.801508,145,135
8.54,-6.972327,145,135
8.56,-5.986825,145,135
8.58,-4.895028,145,135
8.6,-3.705508,145,135
8.62,-2.447719,145,135
8.64,-1.158952,145,135
8.66,0.1339958,145,135
8.68,1.405043,145,135
8.7,2.627781,145,135
8.72,3.775589,145,135
8.74,4.815239,145,135
8.76,5.732477,145,135
8.78,6.503487,145,135
8.8,7.111016,145,135
8.82,7.544873,145,135
8.84,7.78951,145,135
8.86,7.850404,145,135
8.88,7.737489,145,135
8.9,7.513012,145,135
8.92,7.140815,145,135
8.94,6.649836,145,135
8.96,6.04623,145,135
8.98,5.345893,145,135
9,4.573347,145,135
9.02,3.728773,145,135
9.04,2.848183,145,135
9.06,1.937214,145,135
9.08,1.027613,145,135
9.1,0.1356618,145,135
9.12,-0.713789,145,135
9.14,-1.508741,145,135
9.16,-2.225353,145,135
9.18,-2.853559,145,135
9.2,-3.379648,145,135
9.22,-3.784954,145,135
9.24,-4.068552,145,135
9.26,-4.223968,145,135
9.28,-4.251643,145,135
9.3,-4.164311,145,135
9.32,-3.993831,145,135
9.34,-3.736985,145,135
9.36,-3.413189,145,135
9.38,-3.014695,145,135
9.4,-2.57008,145,135
9.42,-2.077865,145,135
9.44,-1.555153,145,135
9.46,-1.010285,145,135
9.48,-0.4541471,145,135
9.5,0.09682083,145,135
9.52,0.6295047,145,135
9.54,1.133523,145,135
9.56,1.599421,145,135
9.58,2.017834,145,135
9.6,2.371663,145,135
9.62,2.66566,145,135
9.64,2.888068,145,135
9.66,3.0302,145,135
9.68,3.100244,145,135
9.7,3.095202,145,135
9.72,3.029911,145,135
9.74,2.932245,145,135
9.76,2.796976,145,135
9.78,2.640364,145,135
9.8,2.457846,145,135
9.82,2.260317,145,135
9.84,2.048118,145,135
9.86,1.830912,145,135
9.88,1.612644,145,135
9.9,1.399272,145,135
9.92,1.186413,145,135
9.94,0.9882646,145,135
9.96,0.8102202,145,135
9.98,0.6506588,145,135
10,0.5188262,145,135
10.02,0.4120338,145,135
10.04,0.3303556,145,135
10.06,0.2784429,145,135
10.08,0.2541525,145,135
10.1,0.2542808,145,135
10.12,0.2707932,145,135
10.14,0.3005149,145,135
10.16,0.3222899,145,135
10.18,0.3427739,145,135
10.2,0.3554344,145,135
10.22,0.3591237,145,135
10.24,0.3573403,145,135
10.26,0.360142,145,135
10.28,0.3592551,145,135
10.3,0.3580334,145,135
10.32,0.3572173,145,135
10.34,0.3563917,145,135
10.36,0.3576832,145,135
10.38,0.358398,145,135
10.4,0.3599784,145,135
10.42,0.356698,145,135
10.44,0.355293,145,135
10.46,0.3575521,145,135
10.48,0.3583009,145,135
10.5,0.3625576,145,135
10.52,0.365617,145,135
10.54,0.3640244,145,135
10.56,0.365792,145,135
10.58,0.3656681,145,135
10.6,0.3655741,145,135
10.62,0.3642895,145,135
10.64,0.366051,145,135
10.66,0.3680539,145,135
10.68,0.3712318,145,135
10.7,0.3689544,145,135
10.72,0.3688028,145,135
10.74,0.3665924,145,135
10.76,0.3664813,145,135
10.78,0.3632791,145,135
10.8,0.3626356,145,135
10.82,0.3644607,145,135
10.84,0.3611026,145,135
10.86,0.3636072,145,135
10.88,0.3620169,145,135
10.9,0.366523,145,135
